,name,link,image,description,level_available,x_size,y_size
0,Fire Bush,https://mysingingmonsters.fandom.com/wiki/Fire_Bush,Fire_Bush.png,"While it may look delicious, eating Fire Bush leaves has dire effects, causing the consumer to produce eye-watering flatulence.",5,2,2
1,Travelers' Sign,https://mysingingmonsters.fandom.com/wiki/Travelers%27_Sign,Travelers_Sign.png,Beware! This sign likes to play switcheroo with its arrows. Where you're going all depends on where you are.,7,2,2
2,Saggle Tree,https://mysingingmonsters.fandom.com/wiki/Saggle_Tree,Saggle_Tree.png,"Monsters must be careful around the Saggle Trees. Their tasty nuts are too delicious-looking to resist, but they taste like rocks. Yuck!",8,2,2
3,Beeyoot Tree,https://mysingingmonsters.fandom.com/wiki/Beeyoot_Tree,Beeyoot_Tree.png,"Monsters should know better than to look directly at a Beeyoot Tree. When observed, the tree goes full-on supermodel, posing and contorting. Weird.",8,2,2
4,Smunkin Patch,https://mysingingmonsters.fandom.com/wiki/Smunkin_Patch,Smunkin_Patch.png,"What could be more comforting than cuddling with a ripe, orange Smunkin? Just don't let any Thumpies near; they like to carve out faces on them. What a strange thing to do.",11,2,2
5,Hollow Log,https://mysingingmonsters.fandom.com/wiki/Hollow_Log,Hollow_Log.png,It's a Hollow Log. Maybe something cool will move in.,12,2,4
6,Bloofi Tree,https://mysingingmonsters.fandom.com/wiki/Bloofi_Tree,Bloofi_Tree.png,"Don't look too closely at the Bloofi Tree. Its feathery leaves have been 'borrowed' for some unknown purpose, leaving embarrassing bald patches.",12,2,2
7,Razzli Tree,https://mysingingmonsters.fandom.com/wiki/Razzli_Tree,Razzli_Tree.png,"Razzli Trees attract lots of things; iridescent bugs, slithery slugs, and especially monsters. Up close, the tree is kind of boring, and all the creatures leave.",12,2,2
8,Fuzzle Tree,https://mysingingmonsters.fandom.com/wiki/Fuzzle_Tree,Fuzzle_Tree.png,The Fuzzle Tree loves it when monsters have long picnic lunches under its branches. Sometimes it grabs a snack from the basket when no one is looking.,13,2,2
9,Piney Tree,https://mysingingmonsters.fandom.com/wiki/Piney_Tree,Piney_Tree.png,"Monsters decorate Piney Trees every year for the Festival of Yay. Much to the tree's relief, monsters do not decorate well, and the objects fall off immediately.",13,2,2
10,Puffle Tree,https://mysingingmonsters.fandom.com/wiki/Puffle_Tree,Puffle_Tree.png,This tree has the highest accident rating of all the trees. Its feather-like foliage tickles anyone who attempts to climb it until they fall out laughing.,14,2,2
11,Castanevine,https://mysingingmonsters.fandom.com/wiki/Castanevine,Castanevine.png,"When a strong breeze blows, the Castanevine really comes to life. Monsters sometimes blow at the plant just to hear it play.",18,2,2
12,Yum Yum Tree,https://mysingingmonsters.fandom.com/wiki/Yum_Yum_Tree,Yum_Yum_Tree.png,"Yum Yum Trees jiggle delightfully when gently shaken. Caution is advised, however, as the globes break easily, drenching the shaker with a sap as sticky as bubblegum.",18,2,2
13,Crumpler Tree,https://mysingingmonsters.fandom.com/wiki/Crumpler_Tree,Crumpler_Tree.png,"Old timers say never to go near a Crumpler Tree at night or you will face the wrath of the Crumplings, invisible fairies that leave you covered with itchy bites. What do old timers know, anyhow?",19,2,2
14,Zuffle Tree,https://mysingingmonsters.fandom.com/wiki/Zuffle_Tree,Zuffle_Tree.png,Zuffle Trees bear delicious fruit that closely resembles the material pulled from a hairbrush. Those who consume it produce a melodic gacking sound.,20,2,2
15,Floofy Nest,https://mysingingmonsters.fandom.com/wiki/Floofy_Nest,Floofy_Nest.png,"Mischievous creatures, Floofies are sometimes mistaken for sock fluff. Have you ever seen sock fluff jump around like that?",24,3,3
16,Inverdigus Fern,https://mysingingmonsters.fandom.com/wiki/Inverdigus_Fern,Inverdigus_Fern.png,The spooky yet breathtaking Inverdigus plant is truly a sight to behold. Mostly because you can bet it is using its baleful eyestalks to behold you at the same time.,25,2,2
17,Mountain Morsel,https://mysingingmonsters.fandom.com/wiki/Mountain_Morsel,Mountain_Morsel.png,"This relic isn't from around these parts. After a few experimental licks, it was discovered it tastes like grape bubblegum. The visages carved into its surface occasionally emit a low hum when monsters aren't looking.",10,2,2
18,Tree Hut,https://mysingingmonsters.fandom.com/wiki/Tree_Hut,Tree_Hut.png,Some monsters like to haul their stuff around with them and need a place to put it for the day.,17,3,3
19,Barbloo Statue,https://mysingingmonsters.fandom.com/wiki/Barbloo_Statue,Barbloo_Statue.png,"This statue immortalizes the bravery with which its model saw something scary, pointed, and knelt in fear.",13,1,1
20,Thumpies Totem,https://mysingingmonsters.fandom.com/wiki/Thumpies_Totem,Thumpies_Totem.png,"Carved out of lumber harvested from the Great Tree of the Thumpieverse, this totem pays tribute to three famous Thumpies: KarrToof, RhooTz, and ChoMPh.",14,2,2
21,Babayag Tower,https://mysingingmonsters.fandom.com/wiki/Babayag_Tower,Babayag_Tower.png,"This tower would be more fun if it would just stand still and allow itself to be climbed! Still, it looks pretty.",15,2,2
22,Squeed Statue,https://mysingingmonsters.fandom.com/wiki/Squeed_Statue,Squeed_Statue.png,Everyone loves a Squeed!,16,1,1
23,Dragoon Statue,https://mysingingmonsters.fandom.com/wiki/Dragoon_Statue,Dragoon_Statue.png,The Dragoon was a harmless creature with a poor understanding of effective camouflage. Its resemblance to a bodiless claw made it such a prized collector's item that it rapidly became extinct.,16,1,1
24,Tree Forte Tower,https://mysingingmonsters.fandom.com/wiki/Tree_Forte_Tower,Tree_Forte_Tower.png,The umbrella roof makes this a great tower for rainy days.,17,2,2
25,Bass String Bridge,https://mysingingmonsters.fandom.com/wiki/Bass_String_Bridge,Bass_String_Bridge.png,"Who can resist the charm of an old bridge over a tinkling freshet, all in the shade of a drooping snuffle tree?",19,4,4
26,Cozee Cabin,https://mysingingmonsters.fandom.com/wiki/Cozee_Cabin,Cozee_Cabin.png,"It's nice to have a place to take a quick nap. The Cozee Cabin isn't nearly as comfy as the Castle, but it'll do in a pinch.",19,3,3
27,Miniature Island Complex,https://mysingingmonsters.fandom.com/wiki/Miniature_Island_Complex,Miniature_Island_Complex.png,"Originally constructed as a tribute to Colossals and Titans alike, this work of art now houses many small creatures. Combining the Fire and Magical Islands into a Miniature Island Complex has created a Utopia for these tiny beings to flourish. Whether it's looking through the windowed eyes, or taking a relaxing dip in the Sanctum Swimming Pool atop the structures, there is something for all these little critters to do - including some kind of invite-only shindig that Crumplings are always crashing.",15,2,2
28,Leafy Sea Dragon,https://mysingingmonsters.fandom.com/wiki/Leafy_Sea_Dragon,Leafy_Sea_Dragon.png,"Monsters generally agree that this is a ridiculous fantasy creature. Nonetheless, they still make wishes and toss their teeth in the fountain.",20,4,4
